product_id,name,color,brand,category,subcategory,Name,Description,stock,price,discounted_price,warranty,image_url,
KITCHEN001,Gravis Stellar 5Pcs Triply Stainless Steel Cookware Set,,Prestige,Kitchen,Cookware,Gravis Stellar 5Pcs Triply Stainless Steel Cookware Set,5-piece triply stainless steel cookware set,40,7999,749,1 year,https://example.com/images/kitchen1.jpg,
KITCHEN002,Valeria Carin Triply Stainless Steel Pressure Cooker - 3L,,Hawkins,Kitchen,Cookware,Valeria Carin Triply Stainless Steel Pressure Cooker - 3L,3L triply stainless steel pressure cooker,30,3359,1149,2 years,https://example.com/images/kitchen2.jpg,
KITCHEN003,Blair Nevada Aluminium Appachetty with Lid - 20cm,,Pigeon,Kitchen,Cookware,Blair Nevada Aluminium Appachetty with Lid - 20cm,20cm aluminium appachetty with lid,35,999,1299,1 year,https://example.com/images/kitchen3.jpg,
KITCHEN004,Allure Lian Aluminium Non Stick Kadhai with Lid - 2.5L,,Butterfly,Kitchen,Cookware,Allure Lian Aluminium Non Stick Kadhai with Lid - 2.5L,2.5L non-stick aluminium kadhai with lid,25,1599,699,6 months,https://example.com/images/kitchen4.jpg,
KITCHEN005,Terra Tales Sally Cast Iron Paniyarakal,,Prestige,Kitchen,Cookware,Terra Tales Sally Cast Iron Paniyarakal,Cast iron paniyarakal,20,2199,1799,5 years,https://example.com/images/kitchen5.jpg,
KITCHEN006,Spinel Bamboo Chopping Board,,Borosil,Kitchen,Kitchenware,Spinel Bamboo Chopping Board,Bamboo chopping board,50,299,849,1 year,https://example.com/images/kitchen6.jpg,Jarvis Stainless Steel Utility Knife
KITCHEN007,Jarvis Stainless Steel Utility Knife,,AmazonBasics,Kitchen,Kitchenware,,Stainless steel utility knife,60,149,399,6 months,https://example.com/images/kitchen7.jpg,
KITCHEN008,Jarvis Hobbiton Set of 3 Stainless Steel Kitchen Scissors,,Tupperware,Kitchen,Kitchenware,Jarvis Hobbiton Set of 3 Stainless Steel Kitchen Scissors,Set of 3 stainless steel kitchen scissors,45,349,249,1 year,https://example.com/images/kitchen8.jpg,
KITCHEN009,Chef Cubis Edulis 5Pc Bamboo Cutlery Set with Holder,,Milton,Kitchen,Kitchenware,Chef Cubis Edulis 5Pc Bamboo Cutlery Set with Holder,5-piece bamboo cutlery set with holder,80,299,149,6 months,https://example.com/images/kitchen9.jpg,
KITCHEN010,Rosemary Stainless Steel Garlic Press,,Wonderchef,Kitchen,Kitchenware,Rosemary Stainless Steel Garlic Press,Stainless steel garlic press,70,399,299,1 year,https://example.com/images/kitchen10.jpg,
KITCHEN011,Corsica Set of 3 Polypropylene Storage Containers - 450ml,,Cello,Kitchen,Storage and Containers,Corsica Set of 3 Polypropylene Storage Containers - 450ml,Set of 3 polypropylene storage containers (450ml),55,549,799,1 year,https://example.com/images/kitchen11.jpg,
KITCHEN012,Corsica Roven Set of 4 Glass Storage Jars with Lid,,Signoraware,Kitchen,Storage and Containers,Corsica Roven Set of 4 Glass Storage Jars with Lid,Set of 4 glass storage jars with lid,30,599,999,2 years,https://example.com/images/kitchen12.jpg,
KITCHEN013,Mendo Dolomite Cookie Jar - 1.48L,,Milton,Kitchen,Storage and Containers,Mendo Dolomite Cookie Jar - 1.48L,1.48L dolomite cookie jar,75,1599,599,1 year,https://example.com/images/kitchen13.jpg,
KITCHEN014,Corsica Roven Set of 12 Glass Storage Jars with Lid,,Tupperware,Kitchen,Storage and Containers,Corsica Roven Set of 12 Glass Storage Jars with Lid,Set of 12 glass storage jars with lid,65,1199,1099,3 years,https://example.com/images/kitchen14.jpg,
KITCHEN015,Corsica Set of 2 Drizzle Oil Bottles - 500ml,,Pigeon,Kitchen,Storage and Containers,Corsica Set of 2 Drizzle Oil Bottles - 500ml,Set of 2 drizzle oil bottles (500ml),90,299,399,6 months,https://example.com/images/kitchen15.jpg,
